Time (s),Displacement (m)
0.0,-5.743305138238201e-05
0.0010002000400080016,-0.00014239460573983476
0.002000400080016003,-0.00022733366534146646
0.0030006001200240046,-0.0003122368119584369
0.004000800160032006,-0.0003970906330352488
0.005001000200040008,-0.00048188172380860466
0.006001200240048009,-0.000566596689425004
0.007001400280056011,-0.0006512221470568035
0.008001600320064013,-0.0007357447280163636
0.009001800360072015,-0.0008201510798679643
0.010002000400080016,-0.0009044278685371494
0.011002200440088018,-0.0009885617804171864
0.012002400480096018,-0.0010725395244722625
0.01300260052010402,-0.001156347834337145
0.014002800560112022,-0.001239973470412929
0.015003000600120024,-0.0013234032219585606
0.016003200640128026,-0.0014066239091777978
0.017003400680136026,-0.0014896223853012964
0.01800360072014403,-0.0015723855386634527
0.01900380076015203,-0.001654900294773725
0.020004000800160033,-0.001737153618382072
0.021004200840168033,-0.0018191325155381937
0.022004400880176037,-0.0019008240356442462
0.023004600920184037,-0.0019822152735007085
0.024004800960192037,-0.0020632933713450883
0.02500500100020004,-0.002144045520883108
0.02600520104020804,-0.0022244589653121036
0.027005401080216044,-0.0023045210013362735
0.028005601120224044,-0.0023842189811734815
0.029005801160232048,-0.0024635403145532816
0.030006001200240048,-0.0025424724707058754
0.03100620124024805,-0.002621002980341642
0.03200640128025605,-0.0026991194376209805
0.033006601320264055,-0.0027768095021141193
0.03400680136027205,-0.0028540609007505907
0.035007001400280055,-0.002930861429758066
0.03600720144028806,-0.0030071989565902428
0.03700740148029606,-0.003083061421843492
0.03800760152030406,-0.003158436841161921
0.03900780156031206,-0.003233313307130614
0.040008001600320066,-0.0033076789911566967
0.04100820164032806,-0.0033815221453379557
0.042008401680336066,-0.003454831104318719
0.04300860172034407,-0.0035275942871326746
0.04400880176035207,-0.0035998001990323793
0.04500900180036007,-0.0036714374333051396
0.04600920184036807,-0.0037424946730749784
0.04700940188037608,-0.0038129606930904234
0.048009601920384073,-0.0038828243614978082
0.04900980196039208,-0.0039520746415998235
0.05001000200040008,-0.004020700593599049
0.051010202040408084,-0.004088691376326145
0.05201040208041608,-0.004156036248952501
0.053010602120424084,-0.004222724572687008
0.05401080216043209,-0.0042887458124567165
0.05501100220044009,-0.004354089538571127
0.05601120224044809,-0.004418745428369798
0.05701140228045609,-0.004482703267853077
0.058011602320464095,-0.004545952953295654
0.05901180236047209,-0.004608484492842694
0.060012002400480095,-0.0046702880080883
0.0610122024404881,-0.0047313537356360475
0.0620124024804961,-0.00479167202864136
0.0630126025205041,-0.004851233358335464
0.0640128025605121,-0.004910028315530694
0.0650130026005201,-0.00496804761210691
0.06601320264052811,-0.0050252820824787815
0.06701340268053611,-0.005081722685043722
0.0680136027205441,-0.0051373605036102304
0.0690138027605521,-0.005192186748806436
0.07001400280056011,-0.0052461927594685785
0.07101420284056811,-0.00529937000400927
0.07201440288057612,-0.005351710081765261
0.07301460292058412,-0.005403204724324539
0.07401480296059212,-0.005453845796832524
0.07501500300060011,-0.005503625299277173
0.07601520304060812,-0.005552535367752786
0.07701540308061612,-0.005600568275702291
0.07801560312062412,-0.005647716435137857
0.07901580316063213,-0.005693972397839599
0.08001600320064013,-0.005739328856532209
0.08101620324064814,-0.005783778646039329
0.08201640328065612,-0.005827314744415452
0.08301660332066413,-0.005869930274055232
0.08401680336067213,-0.0059116185027799535
0.08501700340068014,-0.0059523728449010615
0.08601720344068814,-0.005992186862260521
0.08701740348069614,-0.006031054265247893
0.08801760352070415,-0.006068968913793933
0.08901780356071214,-0.006105924818340559
0.09001800360072014,-0.006141916140787065
0.09101820364072814,-0.0061769371954123785
0.09201840368073615,-0.006210982449773272
0.09301860372074415,-0.006244046525578341
0.09401880376075215,-0.0062761241995376495
0.09501900380076016,-0.006307210404187863
0.09601920384076815,-0.0063373002286927944
0.09701940388077615,-0.006366388919619183
0.09801960392078415,-0.006394471881687622
0.09901980396079216,-0.006421544678498493
0.10002000400080016,-0.0064476030332328085
0.10102020404080816,-0.006472642829327838
0.10202040408081617,-0.0064966601111274246
0.10302060412082417,-0.006519651084506878
0.10402080416083216,-0.0065416121174723466
0.10502100420084017,-0.0065625397407345866
0.10602120424084817,-0.006582430648257021
0.10702140428085617,-0.006601281697778005
0.10802160432086418,-0.00661908991130723
0.10902180436087218,-0.006635852475596169
0.11002200440088018,-0.006651566742582497
0.11102220444088817,-0.006666230229808419
0.11202240448089618,-0.006679840620812842
0.11302260452090418,-0.0066923957654973065
0.11402280456091218,-0.006703893680465651
0.11502300460092019,-0.006714332549337347
0.11602320464092819,-0.006723710723034433
0.1170234046809362,-0.006732026720042024
0.11802360472094418,-0.006739279226642367
0.11902380476095219,-0.00674546709712236
0.12002400480096019,-0.006750589353954555
0.1210242048409682,-0.006754645187951585
0.1220244048809762,-0.0067576339583939795
0.1230246049209842,-0.006759555193131406
0.1240248049609922,-0.006760408588657234
0.1250250050010002,-0.006760194010156504
0.1260252050410082,-0.006758911491527199
0.1270254050810162,-0.006756561235374916
0.1280256051210242,-0.0067531436129808385
0.1290258051610322,-0.006748659164243099
0.1300260052010402,-0.006743108597591476
0.13102620524104822,-0.00673649278987549
0.13202640528105622,-0.006728812786225875
0.13302660532106422,-0.006720069799889484
0.13402680536107223,-0.006710265212037614
0.13502700540108023,-0.006699400571547828
0.1360272054410882,-0.006687477594759264
0.1370274054810962,-0.006674498165201499
0.1380276055211042,-0.006660464333296998
0.13902780556111222,-0.0066453783160372
0.14002800560112022,-0.006629242496632291
0.14102820564112822,-0.006612059424134712
0.14202840568113623,-0.006593831813036475
